method,domain,scenario,seed,q,coverage,mean_length,mean_interval_score,bin_1_coverage,bin_2_coverage,bin_3_coverage,bin_4_coverage,bin_5_coverage
split_cp,source,S0,20260750,0.7521331272082782,0.8858,1.5042662544165566,2.1630575477821354,0.997,0.973,0.887,0.823,0.749
split_cp,target_s1,S1,20260750,0.7521331272082782,0.8008,1.5042662544165566,2.688324476959379,0.901,0.802,0.79,0.762,0.749
split_cp,source,S0,20260751,0.7586219953616548,0.8972,1.5172439907233095,2.0816134313434977,0.995,0.959,0.92,0.857,0.755
split_cp,target_s1,S1,20260751,0.7586219953616548,0.7846,1.5172439907233095,2.852931878137416,0.883,0.823,0.758,0.728,0.731
split_cp,source,S0,20260752,0.7933011552262752,0.896,1.5866023104525502,2.1522477714507966,0.997,0.968,0.922,0.847,0.746
split_cp,target_s1,S1,20260752,0.7933011552262752,0.8028,1.5866023104525502,2.768059862926384,0.918,0.831,0.775,0.769,0.721
split_cp,source,S0,20260753,0.8028050018126434,0.906,1.605610003625287,2.0968114986188624,1.0,0.977,0.926,0.854,0.773
split_cp,target_s1,S1,20260753,0.8028050018126434,0.8204,1.605610003625287,2.743844457314244,0.928,0.846,0.797,0.778,0.753
split_cp,source,S0,20260754,0.7957024521848848,0.9004,1.5914049043697693,2.1001887227995044,0.995,0.97,0.91,0.848,0.779
split_cp,target_s1,S1,20260754,0.7957024521848848,0.8078,1.5914049043697693,2.7184989942134465,0.912,0.846,0.77,0.763,0.748
split_cp,source,S0,20260755,0.8283051018305333,0.912,1.656610203661067,2.089472288132044,0.995,0.974,0.929,0.872,0.79
split_cp,target_s1,S1,20260755,0.8283051018305333,0.836,1.656610203661067,2.649955396002141,0.95,0.88,0.816,0.788,0.746
split_cp,source,S0,20260756,0.7096209552750214,0.8724,1.4192419105500427,2.1094248154403177,0.996,0.948,0.899,0.787,0.732
split_cp,target_s1,S1,20260756,0.7096209552750214,0.7538,1.4192419105500427,2.991464769704992,0.875,0.753,0.746,0.728,0.667
split_cp,source,S0,20260757,0.8128443823042986,0.914,1.6256887646085971,2.0820889290730116,0.995,0.976,0.937,0.872,0.79
split_cp,target_s1,S1,20260757,0.8128443823042986,0.8144,1.6256887646085971,2.7975885303479555,0.941,0.837,0.791,0.773,0.73
split_cp,source,S0,20260758,0.8480131848163822,0.9262,1.6960263696327647,2.095111221857751,1.0,0.991,0.936,0.887,0.817
split_cp,target_s1,S1,20260758,0.8480131848163822,0.8362,1.6960263696327647,2.6400477360293473,0.927,0.84,0.837,0.808,0.769
split_cp,source,S0,20260759,0.8129538157435046,0.914,1.6259076314870093,2.0571930811896277,0.999,0.988,0.927,0.851,0.805
split_cp,target_s1,S1,20260759,0.8129538157435046,0.8156,1.6259076314870093,2.772555169643221,0.932,0.841,0.789,0.777,0.739
split_cp,source,S0,20260760,0.7521812538310946,0.8944,1.5043625076621894,2.10016541513435,0.996,0.97,0.919,0.823,0.764
split_cp,target_s1,S1,20260760,0.7521812538310946,0.7888,1.5043625076621894,2.9035101624171555,0.904,0.816,0.763,0.762,0.699
split_cp,source,S0,20260761,0.7929570955359325,0.9058,1.5859141910718648,2.057805247028706,0.997,0.976,0.916,0.862,0.778
split_cp,target_s1,S1,20260761,0.7929570955359325,0.7974,1.5859141910718648,2.8012256858608935,0.901,0.836,0.795,0.738,0.717
split_cp,source,S0,20260762,0.7849048618263246,0.8992,1.5698097236526494,2.1065693599151576,0.998,0.971,0.931,0.848,0.748
split_cp,target_s1,S1,20260762,0.7849048618263246,0.7976,1.5698097236526494,2.7907588168249453,0.911,0.805,0.785,0.74,0.747
split_cp,source,S0,20260763,0.7524352087855809,0.887,1.504870417571162,2.1352627858439126,0.996,0.976,0.895,0.826,0.742
split_cp,target_s1,S1,20260763,0.7524352087855809,0.7846,1.504870417571162,2.7787033041631983,0.907,0.778,0.771,0.748,0.719
split_cp,source,S0,20260764,0.7668919591332188,0.8864,1.5337839182664375,2.0962643832531462,0.995,0.971,0.892,0.811,0.763
split_cp,target_s1,S1,20260764,0.7668919591332188,0.7892,1.5337839182664375,2.869538687233254,0.901,0.81,0.767,0.728,0.74
split_cp,source,S0,20260765,0.8220997313012541,0.9136,1.644199462602508,2.093316126283353,0.998,0.978,0.928,0.877,0.787
split_cp,target_s1,S1,20260765,0.8220997313012541,0.8268,1.644199462602508,2.7289302006624223,0.948,0.836,0.815,0.765,0.77
split_cp,source,S0,20260766,0.820280876677381,0.9126,1.6405617533547623,2.107420750136133,0.999,0.976,0.931,0.875,0.782
split_cp,target_s1,S1,20260766,0.820280876677381,0.8348,1.6405617533547623,2.676190468807626,0.935,0.856,0.802,0.79,0.791
split_cp,source,S0,20260767,0.8110280484476671,0.9028,1.6220560968953344,2.093839232994713,0.995,0.975,0.934,0.843,0.767
split_cp,target_s1,S1,20260767,0.8110280484476671,0.8174,1.6220560968953344,2.8214010875403206,0.917,0.833,0.779,0.795,0.763
split_cp,source,S0,20260768,0.8048244747824875,0.9072,1.6096489495649746,2.1018904569778454,0.998,0.976,0.934,0.861,0.767
split_cp,target_s1,S1,20260768,0.8048244747824875,0.8146,1.6096489495649746,2.7042470244695367,0.898,0.841,0.804,0.785,0.745
split_cp,source,S0,20260769,0.7893018757454036,0.9044,1.578603751490807,2.1252332526452227,0.997,0.981,0.93,0.858,0.756
split_cp,target_s1,S1,20260769,0.7893018757454036,0.8076,1.578603751490807,2.733433614769902,0.903,0.818,0.81,0.766,0.741
split_cp,source,S0,20260770,0.8298540697977133,0.919,1.6597081395954265,2.0704661715440067,0.998,0.984,0.933,0.874,0.806
split_cp,target_s1,S1,20260770,0.8298540697977133,0.8312,1.6597081395954265,2.627606412453478,0.929,0.842,0.82,0.787,0.778
split_cp,source,S0,20260771,0.8191170359564808,0.9142,1.6382340719129616,2.1067830055544463,0.999,0.977,0.936,0.86,0.799
split_cp,target_s1,S1,20260771,0.8191170359564808,0.8228,1.6382340719129616,2.707417935112909,0.923,0.846,0.798,0.785,0.762
split_cp,source,S0,20260772,0.8348060972683521,0.9226,1.6696121945367037,2.0987756699479925,1.0,0.983,0.94,0.892,0.798
split_cp,target_s1,S1,20260772,0.8348060972683521,0.8226,1.6696121945367037,2.675074370420485,0.928,0.858,0.79,0.789,0.748
split_cp,source,S0,20260773,0.8533824029144721,0.9202,1.7067648058289444,2.0946834742270277,1.0,0.985,0.94,0.879,0.797
split_cp,target_s1,S1,20260773,0.8533824029144721,0.8356,1.7067648058289444,2.6258307870760267,0.941,0.85,0.819,0.786,0.782
split_cp,source,S0,20260774,0.864464404994575,0.9288,1.72892880998915,2.103414445659876,1.0,0.984,0.951,0.883,0.826
split_cp,target_s1,S1,20260774,0.864464404994575,0.8496,1.72892880998915,2.5807149910729286,0.939,0.863,0.82,0.826,0.8
split_cp,source,S0,20260775,0.774850706650049,0.895,1.5497014133000981,2.1315339930649184,0.999,0.975,0.925,0.824,0.752
split_cp,target_s1,S1,20260775,0.774850706650049,0.8032,1.5497014133000981,2.793338602971322,0.91,0.822,0.79,0.77,0.724
split_cp,source,S0,20260776,0.8187912335910112,0.9072,1.6375824671820225,2.1316049722080663,0.999,0.98,0.93,0.851,0.776
split_cp,target_s1,S1,20260776,0.8187912335910112,0.8182,1.6375824671820225,2.827982481768133,0.931,0.836,0.795,0.764,0.765
split_cp,source,S0,20260777,0.8284411508658429,0.915,1.656882301731686,2.068856346606205,0.998,0.979,0.936,0.851,0.811
split_cp,target_s1,S1,20260777,0.8284411508658429,0.8274,1.656882301731686,2.688053789728299,0.919,0.865,0.808,0.789,0.756
split_cp,source,S0,20260778,0.8114179094461956,0.9052,1.622835818892391,2.1341342955034723,0.998,0.979,0.911,0.855,0.783
split_cp,target_s1,S1,20260778,0.8114179094461956,0.8216,1.622835818892391,2.6846323848838134,0.916,0.851,0.8,0.791,0.75
split_cp,source,S0,20260779,0.7688674633602401,0.901,1.53773492672048,2.03308241248426,0.996,0.969,0.932,0.847,0.761
split_cp,target_s1,S1,20260779,0.7688674633602401,0.7994,1.53773492672048,2.7492460988430665,0.912,0.801,0.779,0.749,0.756
split_cp,source,S0,20260780,0.8191549515795006,0.9126,1.6383099031590014,2.08429737312448,0.998,0.976,0.93,0.853,0.806
split_cp,target_s1,S1,20260780,0.8191549515795006,0.8264,1.6383099031590014,2.6904277382125983,0.934,0.85,0.793,0.808,0.747
split_cp,source,S0,20260781,0.7876050487214861,0.8972,1.5752100974429724,2.135139156663431,0.994,0.962,0.916,0.835,0.779
split_cp,target_s1,S1,20260781,0.7876050487214861,0.8162,1.5752100974429724,2.7214951255020567,0.927,0.844,0.803,0.772,0.735
split_cp,source,S0,20260782,0.701256063855007,0.8674,1.4025121277100145,2.1363800830754736,0.995,0.948,0.87,0.797,0.727
split_cp,target_s1,S1,20260782,0.701256063855007,0.7484,1.4025121277100145,2.921671844282744,0.852,0.799,0.713,0.694,0.684
split_cp,source,S0,20260783,0.7168486773678738,0.871,1.4336973547357474,2.109512799006445,0.994,0.95,0.875,0.814,0.722
split_cp,target_s1,S1,20260783,0.7168486773678738,0.7672,1.4336973547357474,2.9134654475230706,0.89,0.79,0.741,0.729,0.686
split_cp,source,S0,20260784,0.7605048875491116,0.8988,1.5210097750982232,2.0338612313001323,0.997,0.969,0.915,0.824,0.789
split_cp,target_s1,S1,20260784,0.7605048875491116,0.7878,1.5210097750982232,2.776194546131814,0.909,0.816,0.755,0.731,0.728
split_cp,source,S0,20260785,0.740611778862262,0.8828,1.4812235577245243,2.1164448698030958,0.988,0.966,0.912,0.822,0.726
split_cp,target_s1,S1,20260785,0.740611778862262,0.7858,1.4812235577245243,2.8061297377572068,0.898,0.787,0.764,0.752,0.728
split_cp,source,S0,20260786,0.7601186381398105,0.8878,1.520237276279621,2.141144365071829,0.996,0.963,0.907,0.815,0.758
split_cp,target_s1,S1,20260786,0.7601186381398105,0.793,1.520237276279621,2.8146133661536306,0.916,0.803,0.777,0.736,0.733
split_cp,source,S0,20260787,0.8130174670724792,0.9144,1.626034934144958,2.054663677299858,0.998,0.979,0.929,0.865,0.801
split_cp,target_s1,S1,20260787,0.8130174670724792,0.8186,1.626034934144958,2.7126269248163264,0.912,0.853,0.805,0.783,0.74
split_cp,source,S0,20260788,0.7714876928537857,0.891,1.5429753857075712,2.1556140474421404,0.998,0.968,0.892,0.822,0.775
split_cp,target_s1,S1,20260788,0.7714876928537857,0.8102,1.5429753857075712,2.7299639209836077,0.917,0.828,0.787,0.779,0.74
split_cp,source,S0,20260789,0.7190983321935263,0.8782,1.4381966643870527,2.0673262052534653,0.998,0.961,0.88,0.814,0.738
split_cp,target_s1,S1,20260789,0.7190983321935263,0.7702,1.4381966643870527,2.8598747399456013,0.888,0.783,0.765,0.711,0.704
split_cp,source,S0,20260790,0.7697335337188917,0.8996,1.5394670674377835,2.062155609195346,0.996,0.976,0.894,0.849,0.783
split_cp,target_s1,S1,20260790,0.7697335337188917,0.7946,1.5394670674377835,2.7728598198651775,0.911,0.796,0.782,0.74,0.744
split_cp,source,S0,20260791,0.8250208675133205,0.909,1.6500417350266405,2.1321537679692146,0.998,0.983,0.927,0.851,0.786
split_cp,target_s1,S1,20260791,0.8250208675133205,0.8228,1.6500417350266405,2.6931705804338235,0.929,0.842,0.809,0.76,0.774
split_cp,source,S0,20260792,0.7709154421170108,0.8958,1.5418308842340218,2.089130388368573,0.995,0.974,0.911,0.847,0.752
