method,scenario,seed,q,coverage,mean_length,mean_interval_score,bin_1_coverage,bin_2_coverage,bin_3_coverage,bin_4_coverage,bin_5_coverage,ess,max_weight,weight_q99,infinite_interval_rate,domain_auc
oracle_wcp,S1,20260741,1.0003273338333292,0.894,2.0006546676666583,2.579653770477781,0.973,0.909,0.9,0.868,0.82,207.5050840258023,11.01337727149781,nan,0.0,nan
estimated_wcp,S1,20260741,0.9978354003802193,0.894,1.9956708007604387,2.5839615849436885,0.964,0.918,0.875,0.879,0.834,217.3468917345179,8.750271985748643,8.532098390027636,0.0,0.7860399999999998
split_cp,S1,20260742,0.7564667528790876,0.7978,1.5129335057581752,2.7793120105157234,0.908,0.831,0.786,0.726,0.738,nan,nan,nan,nan,nan
oracle_wcp,S1,20260742,1.0576346255394784,0.9148,2.115269251078957,2.552638762055509,0.978,0.927,0.916,0.878,0.875,195.74651002188247,11.000016687462969,nan,0.0,nan
estimated_wcp,S1,20260742,1.0576953386919046,0.9104,2.115390677383809,2.6028855266498088,0.983,0.934,0.89,0.87,0.875,195.55269110557353,10.005362770178941,9.654940143698774,0.0,0.811362
split_cp,S1,20260743,0.7584329072994959,0.781,1.5168658145989922,2.825127149484132,0.907,0.776,0.753,0.741,0.728,nan,nan,nan,nan,nan
oracle_wcp,S1,20260743,1.0191639612023515,0.9018,2.038327922404703,2.5370284523345683,0.968,0.917,0.894,0.883,0.847,189.6196211503938,10.713392880805477,nan,0.0,nan
estimated_wcp,S1,20260743,1.0270621345616373,0.9112,2.0541242691232746,2.535116897733655,0.977,0.917,0.911,0.879,0.872,177.88011540497268,10.886079956932829,10.470577413722905,0.0,0.814562
split_cp,S1,20260744,0.7696067839378956,0.798,1.539213567875791,2.794731600428907,0.908,0.834,0.784,0.74,0.724,nan,nan,nan,nan,nan
oracle_wcp,S1,20260744,0.9945595177860487,0.8962,1.989119035572097,2.5564988346584534,0.952,0.905,0.902,0.867,0.855,217.71918939631286,10.860191770733831,nan,0.0,nan
estimated_wcp,S1,20260744,1.014994624909032,0.8986,2.029989249818064,2.5760369778268903,0.956,0.923,0.905,0.866,0.843,199.39868850931407,9.961267107962815,9.190273523555645,0.0,0.809724
split_cp,S1,20260745,0.7821812625226332,0.8076,1.5643625250452664,2.736630733913013,0.927,0.82,0.792,0.76,0.739,nan,nan,nan,nan,nan
oracle_wcp,S1,20260745,1.1071975098802755,0.9314,2.214395019760551,2.5764408145218938,0.981,0.939,0.924,0.901,0.912,202.40997405848532,10.929137736957182,nan,0.0,nan
estimated_wcp,S1,20260745,1.1115000809171611,0.9326,2.2230001618343223,2.5897388039627964,0.979,0.94,0.917,0.927,0.9,201.13797087192282,10.321397423353217,9.789470125240262,0.0,0.813342
split_cp,S1,20260746,0.7819704970929482,0.8064,1.5639409941858964,2.7893308108816206,0.915,0.811,0.799,0.75,0.757,nan,nan,nan,nan,nan
