method,n_repeats,coverage_mean,coverage_std,coverage_5pct,coverage_95pct,mean_length,mean_interval_score,bin_1_coverage_mean,bin_2_coverage_mean,bin_3_coverage_mean,bin_4_coverage_mean,bin_5_coverage_mean,worst_bin_coverage_mean
adaptive_cp,200,0.90049,0.013430749239176056,0.87897,0.9218099999999999,1.5030995833823633,1.8826309818707543,0.894965,0.90279,0.906105,0.9025000000000002,0.8960899999999999,0.894965
split_cp,200,0.9013849999999999,0.015088868238659191,0.87583,0.92544,1.577557654190054,2.1011536816620393,0.9971749999999999,0.97274,0.91949,0.845495,0.772025,0.772025
