method,scenario,seed,q,coverage,mean_length,mean_interval_score,bin_1_coverage,bin_2_coverage,bin_3_coverage,bin_4_coverage,bin_5_coverage
split_cp,S0,20260730,0.8601552957589652,0.9254,1.7203105915179309,2.11266760818209,1.0,0.98,0.938,0.892,0.817
adaptive_cp,S0,20260730,3.116729662464189,0.9142,1.6106321073139458,1.9281245908668112,0.88,0.916,0.928,0.965,0.882
split_cp,S0,20260731,0.7969647213252603,0.899,1.5939294426505204,2.184660010822375,0.999,0.974,0.93,0.842,0.75
adaptive_cp,S0,20260731,3.284036716828632,0.8908,1.4537492952962463,1.9289699308701067,0.929,0.887,0.885,0.879,0.874
split_cp,S0,20260732,0.8264127950187588,0.911,1.6528255900375175,2.1008602252932542,0.998,0.978,0.931,0.862,0.786
adaptive_cp,S0,20260732,3.310657393543185,0.9166,1.578415221699488,1.8872739968656014,0.943,0.894,0.901,0.922,0.923
split_cp,S0,20260733,0.7723884236304047,0.8896,1.5447768472608097,2.0876631964086725,0.996,0.963,0.916,0.821,0.752
adaptive_cp,S0,20260733,3.1826569254047388,0.8996,1.5445161691202072,1.8894542964701149,0.891,0.873,0.886,0.926,0.922
split_cp,S0,20260734,0.7940513211735525,0.9098,1.5881026423471047,2.077135767954528,0.998,0.974,0.933,0.855,0.789
adaptive_cp,S0,20260734,2.882491882700415,0.8916,1.4216702064973614,1.8570486902719756,0.899,0.886,0.916,0.882,0.875
split_cp,S0,20260735,0.8026586473747225,0.905,1.6053172947494452,2.0846487749142435,1.0,0.972,0.929,0.851,0.773
adaptive_cp,S0,20260735,3.353714578265991,0.9142,1.5130366949039946,1.8540871102038283,0.96,0.905,0.928,0.906,0.872
split_cp,S0,20260736,0.8194458351932862,0.913,1.6388916703865726,2.0507149205680375,0.999,0.98,0.935,0.868,0.783
adaptive_cp,S0,20260736,3.027673923536491,0.9044,1.4766242100094462,1.8107472609380675,0.899,0.888,0.927,0.934,0.874
split_cp,S0,20260737,0.8155340432645445,0.91,1.6310680865290892,2.095101743444027,0.999,0.97,0.93,0.856,0.795
adaptive_cp,S0,20260737,3.2671680141792683,0.911,1.5753159231917593,1.8991599534119188,0.914,0.891,0.886,0.924,0.94
split_cp,S0,20260738,0.7561971733963099,0.895,1.5123943467926202,2.0971046730198104,0.995,0.976,0.922,0.815,0.767
adaptive_cp,S0,20260738,3.2305743351455294,0.9072,1.5032493971707417,1.8503198913106091,0.932,0.88,0.907,0.909,0.908
split_cp,S0,20260739,0.8588849181082272,0.9254,1.7177698362164548,2.0893786695096743,0.998,0.984,0.955,0.877,0.813
adaptive_cp,S0,20260739,3.4212149082420082,0.9206,1.5551141139623448,1.8723347297024153,0.931,0.935,0.936,0.879,0.922
split_cp,S0,20260740,0.7862807155438276,0.898,1.572561431087655,2.0934006653520463,0.996,0.966,0.915,0.842,0.771
adaptive_cp,S0,20260740,3.234607179684517,0.9054,1.550096493605932,1.8867087619028338,0.902,0.874,0.902,0.92,0.929
split_cp,S0,20260741,0.7939595664329584,0.902,1.5879191328659166,2.121653084664906,1.0,0.973,0.927,0.846,0.764
adaptive_cp,S0,20260741,2.983760556121816,0.886,1.4317074765657483,1.8820926850673252,0.889,0.88,0.92,0.896,0.845
split_cp,S0,20260742,0.7564667528790876,0.8948,1.5129335057581752,2.0867392733027943,0.995,0.973,0.912,0.832,0.762
adaptive_cp,S0,20260742,2.900024306520167,0.8842,1.4194725777935582,1.8629654572470586,0.889,0.872,0.892,0.888,0.88
split_cp,S0,20260743,0.7584329072994959,0.8888,1.5168658145989922,2.103109162991343,1.0,0.959,0.911,0.827,0.747
adaptive_cp,S0,20260743,3.18831192725597,0.9022,1.5246243852949077,1.8640281391654854,0.88,0.908,0.919,0.933,0.871
split_cp,S0,20260744,0.7696067839378956,0.8946,1.539213567875791,2.0950940648923666,0.996,0.97,0.919,0.826,0.762
adaptive_cp,S0,20260744,3.01551936845328,0.8964,1.5085659496577515,1.8740872168643972,0.859,0.903,0.912,0.908,0.9
split_cp,S0,20260745,0.7821812625226332,0.8962,1.5643625250452666,2.1148102210883946,0.996,0.968,0.921,0.833,0.763
adaptive_cp,S0,20260745,3.1715526919028307,0.909,1.519411565762066,1.8775283584888665,0.928,0.907,0.9,0.904,0.906
split_cp,S0,20260746,0.7819704970929482,0.896,1.5639409941858964,2.094311474781746,0.997,0.972,0.902,0.826,0.783
adaptive_cp,S0,20260746,3.2504540855664485,0.8934,1.463812219322386,1.8971224651801548,0.925,0.874,0.877,0.881,0.91
split_cp,S0,20260747,0.8400800727584139,0.9228,1.6801601455168276,2.120035623112974,0.998,0.983,0.948,0.891,0.794
adaptive_cp,S0,20260747,3.4314960256332254,0.9146,1.5902043743503989,1.9024179775253127,0.865,0.925,0.929,0.919,0.935
split_cp,S0,20260748,0.8588717105235182,0.9212,1.7177434210470361,2.085703418468849,0.999,0.981,0.923,0.876,0.827
adaptive_cp,S0,20260748,3.240902151901585,0.8984,1.5236827404724083,1.8814834067080934,0.889,0.87,0.887,0.922,0.924
split_cp,S0,20260749,0.789480802180851,0.9072,1.5789616043617019,2.079049716726638,0.999,0.974,0.919,0.868,0.776
adaptive_cp,S0,20260749,2.921005367272414,0.9018,1.4974618383076834,1.8544846749797046,0.885,0.919,0.895,0.893,0.917
split_cp,S0,20260750,0.7521331272082782,0.8858,1.5042662544165566,2.1630575477821354,0.997,0.973,0.887,0.823,0.749
