method,scenario,seed,q,coverage,mean_length,mean_interval_score,bin_1_coverage,bin_2_coverage,bin_3_coverage,bin_4_coverage,bin_5_coverage
adaptive_cp,S0,20260837,3.2770037871424114,0.909,1.5369327579654872,1.8626814018581441,0.905,0.891,0.917,0.93,0.902
split_cp,S0,20260838,0.7989218872651733,0.904,1.5978437745303466,2.0739501556917106,0.996,0.971,0.925,0.852,0.776
adaptive_cp,S0,20260838,3.2887408049253026,0.9218,1.5931250721161272,1.854933775258676,0.923,0.902,0.923,0.923,0.938
split_cp,S0,20260839,0.8269162795906815,0.9142,1.6538325591813634,2.0703184681440545,0.999,0.993,0.924,0.868,0.787
adaptive_cp,S0,20260839,3.258337275521362,0.913,1.5400518370124605,1.8562553252519087,0.892,0.952,0.916,0.892,0.913
split_cp,S0,20260840,0.8550175601413247,0.9272,1.7100351202826496,2.0959810034976583,1.0,0.982,0.943,0.893,0.818
adaptive_cp,S0,20260840,3.183721943478776,0.9254,1.6219899937858675,1.8894627673188842,0.927,0.886,0.93,0.95,0.934
split_cp,S0,20260841,0.836429831185025,0.9238,1.6728596623700498,2.0720331252060626,0.999,0.983,0.937,0.883,0.817
adaptive_cp,S0,20260841,3.1080580925792614,0.9096,1.540865554699976,1.8626577268744389,0.882,0.941,0.931,0.908,0.886
split_cp,S0,20260842,0.7860187991448165,0.9034,1.572037598289633,2.0923298178207594,0.998,0.977,0.928,0.853,0.761
adaptive_cp,S0,20260842,3.32535873810258,0.9206,1.6247736172949887,1.9000893493059745,0.897,0.909,0.947,0.917,0.933
split_cp,S0,20260843,0.8071515770308003,0.9126,1.6143031540616009,2.0823925664812624,0.997,0.979,0.918,0.854,0.815
adaptive_cp,S0,20260843,3.1511231660701378,0.8928,1.457187845403269,1.875639328901162,0.882,0.923,0.887,0.896,0.876
split_cp,S0,20260844,0.8456953933384894,0.9226,1.691390786676979,2.0942467774046416,0.998,0.987,0.947,0.877,0.804
adaptive_cp,S0,20260844,3.0219026995278067,0.9052,1.504933497034551,1.8443863277161596,0.897,0.902,0.899,0.907,0.921
split_cp,S0,20260845,0.7294236390316545,0.8774,1.4588472780633093,2.1244545197919544,0.996,0.962,0.9,0.803,0.726
adaptive_cp,S0,20260845,2.8691202854636906,0.871,1.405635932594334,1.8805130189946404,0.843,0.89,0.889,0.875,0.858
split_cp,S0,20260846,0.8791648944425228,0.9322,1.7583297888850458,2.0997110982756153,0.998,0.984,0.95,0.899,0.83
adaptive_cp,S0,20260846,3.43043085519556,0.9256,1.644712797158787,1.9117960515221684,0.879,0.951,0.939,0.923,0.936
split_cp,S0,20260847,0.8121807810764915,0.9078,1.6243615621529828,2.1109268546811064,0.998,0.986,0.933,0.836,0.786
adaptive_cp,S0,20260847,2.97595748471293,0.8954,1.4649117622654197,1.8699442545858769,0.901,0.888,0.891,0.887,0.91
split_cp,S0,20260848,0.7826116111229496,0.8966,1.5652232222458993,2.0923041350767,0.995,0.964,0.914,0.852,0.758
adaptive_cp,S0,20260848,3.393647044686925,0.9004,1.4887053806121469,1.8868437720306024,0.903,0.899,0.913,0.914,0.873
split_cp,S0,20260849,0.8058468251980048,0.9122,1.6116936503960098,2.057248839021602,0.995,0.978,0.924,0.862,0.802
adaptive_cp,S0,20260849,2.9829441657147733,0.8674,1.380472059018484,1.8756316127915946,0.845,0.888,0.846,0.848,0.91
split_cp,S0,20260850,0.7578776419470513,0.895,1.5157552838941029,2.0905401311482645,0.996,0.971,0.922,0.824,0.762
adaptive_cp,S0,20260850,2.980712426084458,0.8942,1.4250112207168397,1.8690218391652107,0.888,0.912,0.906,0.88,0.885
split_cp,S0,20260851,0.8031814235041428,0.9098,1.6063628470082854,2.064795899298035,0.998,0.969,0.934,0.846,0.802
adaptive_cp,S0,20260851,3.064508826493129,0.8976,1.454162654397333,1.8626317161639199,0.899,0.878,0.933,0.907,0.871
split_cp,S0,20260852,0.7527775279877575,0.8882,1.5055550559755153,2.114892253480443,1.0,0.971,0.9,0.816,0.754
adaptive_cp,S0,20260852,3.2238267293723375,0.9052,1.5250690191788143,1.8822146299041125,0.903,0.903,0.917,0.904,0.899
split_cp,S0,20260853,0.8090248767699602,0.9068,1.6180497535399205,2.1441511861593106,0.997,0.984,0.934,0.848,0.771
adaptive_cp,S0,20260853,3.3351662903091324,0.9196,1.6057339106614363,1.9306478155025488,0.913,0.932,0.946,0.887,0.92
split_cp,S0,20260854,0.8253681274948959,0.9088,1.6507362549897917,2.1513130052990044,1.0,0.985,0.927,0.856,0.776
adaptive_cp,S0,20260854,2.9731534048827832,0.8974,1.4969121144481743,1.9179888244023215,0.914,0.894,0.907,0.917,0.855
split_cp,S0,20260855,0.7992351970612429,0.9072,1.598470394122486,2.0986003517564966,0.995,0.977,0.923,0.869,0.772
adaptive_cp,S0,20260855,3.0479057607692663,0.8956,1.4496772284270707,1.8652060251985647,0.897,0.918,0.881,0.881,0.901
split_cp,S0,20260856,0.8060299722812813,0.9048,1.6120599445625623,2.076373721563716,0.999,0.976,0.92,0.83,0.799
adaptive_cp,S0,20260856,3.1391204893862548,0.9054,1.5220684049015119,1.8629479569359675,0.915,0.914,0.919,0.87,0.909
split_cp,S0,20260857,0.781514402089053,0.8974,1.5630288041781062,2.10139127385144,0.997,0.967,0.911,0.842,0.77
adaptive_cp,S0,20260857,2.979293456278363,0.8816,1.4770899105756092,1.9043450281078822,0.838,0.854,0.886,0.934,0.896
split_cp,S0,20260858,0.7168143335531565,0.8632,1.4336286671063128,2.217071482851302,0.992,0.963,0.864,0.802,0.695
adaptive_cp,S0,20260858,3.045599509326994,0.8924,1.5286890701904985,1.9443161920069862,0.89,0.89,0.914,0.892,0.876
split_cp,S0,20260859,0.7597096031932835,0.897,1.5194192063865675,2.0340432264195147,0.997,0.976,0.91,0.83,0.772
adaptive_cp,S0,20260859,3.0849743913950216,0.9232,1.5820022478890274,1.8390633796979499,0.905,0.922,0.938,0.935,0.916
split_cp,S0,20260860,0.7343991691703204,0.882,1.4687983383406407,2.0877370870745637,0.993,0.965,0.89,0.795,0.767
adaptive_cp,S0,20260860,3.052669377503538,0.8872,1.4390667614299464,1.8705914745538343,0.883,0.9,0.871,0.882,0.9
split_cp,S0,20260861,0.7713210172841383,0.9,1.542642034568276,2.1023609519682105,0.999,0.968,0.924,0.826,0.783
adaptive_cp,S0,20260861,3.037896498657214,0.8984,1.4743534911265033,1.8926054145132498,0.926,0.861,0.91,0.917,0.878
split_cp,S0,20260862,0.8017080099109548,0.9088,1.6034160198219098,2.128666420059523,0.996,0.98,0.932,0.863,0.773
adaptive_cp,S0,20260862,3.033886340980156,0.8988,1.485718249575886,1.8880667211097462,0.914,0.866,0.923,0.924,0.867
split_cp,S0,20260863,0.8547467943249695,0.9232,1.7094935886499392,2.128972665495507,0.998,0.98,0.937,0.88,0.821
adaptive_cp,S0,20260863,3.0677946031292747,0.8978,1.524031910503274,1.9283515829107019,0.914,0.887,0.873,0.927,0.888
split_cp,S0,20260864,0.7964758401207669,0.902,1.5929516802415336,2.0738346737419713,0.996,0.978,0.907,0.853,0.776
adaptive_cp,S0,20260864,3.16875691694539,0.9034,1.5281050033818138,1.8514069714295525,0.865,0.919,0.891,0.909,0.933
split_cp,S0,20260865,0.7699544201420294,0.8954,1.539908840284059,2.108132064940016,0.994,0.976,0.911,0.831,0.765
adaptive_cp,S0,20260865,3.1709353271760112,0.8974,1.4870899578392576,1.8893630153525105,0.914,0.902,0.884,0.891,0.896
split_cp,S0,20260866,0.8880743455418909,0.9334,1.7761486910837816,2.1068215042419434,0.999,0.993,0.959,0.894,0.822
adaptive_cp,S0,20260866,3.3580796692099386,0.9284,1.5786293702792307,1.8549182704099652,0.945,0.937,0.941,0.918,0.901
split_cp,S0,20260867,0.8489798244635411,0.9268,1.697959648927082,2.0703114377141167,1.0,0.988,0.95,0.891,0.805
adaptive_cp,S0,20260867,2.8652783229331735,0.8922,1.4399971665147442,1.827591426404932,0.884,0.885,0.889,0.912,0.891
split_cp,S0,20260868,0.7392675261156669,0.8868,1.4785350522313336,2.0856862278078925,0.996,0.961,0.892,0.836,0.749
adaptive_cp,S0,20260868,3.1704775499616913,0.9072,1.5134117132423872,1.8608802170100314,0.892,0.909,0.919,0.921,0.895
split_cp,S0,20260869,0.8301158855150161,0.9104,1.6602317710300323,2.1212392605083545,0.999,0.975,0.927,0.855,0.796
adaptive_cp,S0,20260869,3.267336656685203,0.9134,1.5784654516187904,1.9390395708199597,0.923,0.943,0.87,0.889,0.942
split_cp,S0,20260870,0.7227894436763472,0.881,1.445578887352694,2.0838418345869614,0.998,0.963,0.902,0.819,0.723
adaptive_cp,S0,20260870,3.2899329070158014,0.9252,1.5915762121760462,1.8705350832444823,0.923,0.92,0.939,0.94,0.904
split_cp,S0,20260871,0.8173474782197818,0.9138,1.6346949564395636,2.0937129134514123,0.999,0.974,0.937,0.864,0.795
adaptive_cp,S0,20260871,3.1490477256536646,0.9032,1.4823142879748363,1.8738737215990506,0.939,0.889,0.906,0.908,0.874
split_cp,S0,20260872,0.7720324131133995,0.8952,1.5440648262267995,2.146828526728056,0.995,0.973,0.915,0.836,0.757
adaptive_cp,S0,20260872,3.459163476644024,0.9104,1.5356100983316467,1.9195967126977018,0.91,0.953,0.919,0.909,0.861
split_cp,S0,20260873,0.8559741310988205,0.9294,1.7119482621976412,2.0330536208590457,0.998,0.985,0.946,0.882,0.836
adaptive_cp,S0,20260873,3.1245939596374135,0.9156,1.5438579941999462,1.826008758533761,0.882,0.929,0.921,0.919,0.927
split_cp,S0,20260874,0.8231327598338802,0.91,1.646265519667761,2.0948144805732114,0.998,0.978,0.924,0.869,0.781
adaptive_cp,S0,20260874,3.1605994526861334,0.9042,1.5625362678266996,1.872603101560381,0.832,0.929,0.93,0.927,0.903
split_cp,S0,20260875,0.746803394862976,0.8874,1.493606789725952,2.1105242612174586,0.994,0.967,0.903,0.82,0.753
adaptive_cp,S0,20260875,3.2017250988887223,0.8952,1.4747446051196953,1.8910158441258529,0.889,0.909,0.92,0.861,0.897
split_cp,S0,20260876,0.7763990852990581,0.8958,1.5527981705981162,2.1215331358026557,0.997,0.968,0.915,0.842,0.757
adaptive_cp,S0,20260876,3.2139015041668735,0.9094,1.532713445282277,1.895802945976879,0.908,0.913,0.94,0.89,0.896
split_cp,S0,20260877,0.7745654898320723,0.899,1.549130979664145,2.0888980229783423,0.997,0.972,0.922,0.843,0.761
adaptive_cp,S0,20260877,3.076710322515156,0.9032,1.475170664335304,1.8617351543659868,0.896,0.924,0.9,0.903,0.893
split_cp,S0,20260878,0.8536964808097066,0.9208,1.707392961619414,2.1136217975125513,0.999,0.983,0.937,0.87,0.815
adaptive_cp,S0,20260878,3.291264912710249,0.9118,1.569044096076611,1.8792107674017564,0.904,0.892,0.917,0.928,0.918
split_cp,S0,20260879,0.803863206516019,0.9006,1.607726413032038,2.1320967893582723,0.996,0.976,0.921,0.835,0.775
adaptive_cp,S0,20260879,3.1398143279908255,0.899,1.5126050481013358,1.931316018506664,0.87,0.934,0.939,0.884,0.868
split_cp,S0,20260880,0.7652125706118862,0.8972,1.5304251412237726,2.0479966160172887,0.997,0.98,0.921,0.843,0.745
adaptive_cp,S0,20260880,3.024440690651005,0.9102,1.5193972702283052,1.8242406143139445,0.908,0.924,0.897,0.918,0.904
split_cp,S0,20260881,0.7983792557569259,0.9104,1.5967585115138514,2.062965261020877,0.999,0.978,0.918,0.862,0.795
adaptive_cp,S0,20260881,3.3455077154617348,0.8968,1.4609043567669167,1.8451884092099753,0.933,0.887,0.882,0.902,0.88
split_cp,S0,20260882,0.7891370735066253,0.8988,1.5782741470132504,2.147718943251064,0.998,0.968,0.929,0.843,0.756
adaptive_cp,S0,20260882,3.3786532090986205,0.9002,1.5202747956877707,1.9038812258361555,0.884,0.896,0.937,0.907,0.877
split_cp,S0,20260883,0.8326317645494701,0.9168,1.6652635290989406,2.073030563722845,0.999,0.981,0.945,0.865,0.794
adaptive_cp,S0,20260883,3.0070537822580405,0.8966,1.474069972945746,1.8491453192040077,0.902,0.908,0.88,0.868,0.925
split_cp,S0,20260884,0.7262954410433256,0.882,1.4525908820866515,2.1231368903588455,0.995,0.962,0.899,0.813,0.741
adaptive_cp,S0,20260884,3.088255357841502,0.8868,1.4707711351617045,1.8973469147256874,0.853,0.886,0.895,0.888,0.912
split_cp,S0,20260885,0.7963147198123971,0.9102,1.592629439624794,2.039807853621899,0.999,0.979,0.938,0.838,0.797
adaptive_cp,S0,20260885,3.264973415733886,0.9172,1.5658620664943403,1.839181120529633,0.906,0.927,0.912,0.912,0.929
split_cp,S0,20260886,0.8005114671372054,0.9118,1.6010229342744111,2.072264466805239,0.996,0.978,0.937,0.861,0.787
adaptive_cp,S0,20260886,3.0041665857805375,0.8944,1.429271280199764,1.8452302550069595,0.885,0.871,0.929,0.902,0.885
split_cp,S0,20260887,0.7078123491236497,0.8676,1.4156246982472993,2.1468629076280124,0.997,0.953,0.876,0.789,0.723
adaptive_cp,S0,20260887,3.064822871362494,0.8676,1.4494067240053234,1.9228904724916094,0.845,0.855,0.824,0.886,0.928
split_cp,S0,20260888,0.787850611236804,0.8986,1.575701222473608,2.0994316149513246,1.0,0.979,0.923,0.835,0.756
adaptive_cp,S0,20260888,3.1294192892849937,0.8992,1.555263694507046,1.8903356381022,0.842,0.87,0.893,0.947,0.944
split_cp,S0,20260889,0.858052659908048,0.92,1.716105319816096,2.117765599076991,0.998,0.982,0.94,0.881,0.799
adaptive_cp,S0,20260889,3.0012242304733436,0.9074,1.5323615705696676,1.8912997635562534,0.895,0.938,0.93,0.904,0.87
split_cp,S0,20260890,0.7655678106160398,0.8954,1.53113562123208,2.074050731522649,0.998,0.968,0.897,0.84,0.774
adaptive_cp,S0,20260890,3.2693972684001733,0.9004,1.4819697354788135,1.8847709165750541,0.873,0.928,0.907,0.898,0.896
split_cp,S0,20260891,0.8819253268559237,0.9292,1.7638506537118475,2.111992833838689,1.0,0.99,0.932,0.896,0.828
adaptive_cp,S0,20260891,3.248433983798382,0.914,1.549240028144699,1.8517273884669396,0.92,0.919,0.911,0.909,0.911
split_cp,S0,20260892,0.8275514720945141,0.914,1.6551029441890286,2.125106671925415,0.998,0.985,0.935,0.884,0.768
adaptive_cp,S0,20260892,3.1310086106986295,0.8948,1.533261012410966,1.8943465340992178,0.846,0.859,0.917,0.952,0.9
split_cp,S0,20260893,0.7750921253497203,0.8966,1.5501842506994405,2.1044503874277694,0.998,0.975,0.922,0.823,0.765
adaptive_cp,S0,20260893,2.9791543848274027,0.8784,1.4036580741341433,1.9117209031550868,0.924,0.906,0.899,0.829,0.834
split_cp,S0,20260894,0.7498004513717555,0.8892,1.499600902743511,2.0943837456039813,0.997,0.97,0.906,0.826,0.747
adaptive_cp,S0,20260894,3.0321192772737047,0.9064,1.486858343479742,1.8560570567140908,0.935,0.906,0.898,0.894,0.899
split_cp,S0,20260895,0.8082903547592885,0.9098,1.6165807095185767,2.0623698730429116,1.0,0.974,0.929,0.849,0.797
adaptive_cp,S0,20260895,3.066399105862436,0.8946,1.4503728716142588,1.8647204120764218,0.923,0.899,0.877,0.906,0.868
split_cp,S0,20260896,0.7149022991898837,0.8666,1.4298045983797676,2.157112970728101,0.989,0.962,0.881,0.792,0.709
adaptive_cp,S0,20260896,3.0134973477395977,0.8886,1.4417185334402225,1.9037232709614633,0.907,0.911,0.92,0.877,0.828
split_cp,S0,20260897,0.7683048386689786,0.888,1.536609677337957,2.168554308387016,0.993,0.968,0.912,0.829,0.738
adaptive_cp,S0,20260897,3.166100527700599,0.8946,1.4748108492932306,1.9233055553923215,0.929,0.888,0.903,0.878,0.875
split_cp,S0,20260898,0.8246688065165015,0.9128,1.6493376130330026,2.1153512744982153,0.998,0.981,0.926,0.864,0.795
adaptive_cp,S0,20260898,3.201814618247302,0.8996,1.4928080907105192,1.8877305408717453,0.906,0.909,0.899,0.879,0.905
split_cp,S0,20260899,0.7636567671146175,0.9048,1.527313534229235,2.0460869294122563,1.0,0.973,0.935,0.847,0.769
adaptive_cp,S0,20260899,3.184020547335569,0.9006,1.495911801149261,1.8296835723890166,0.907,0.872,0.884,0.916,0.924
split_cp,S0,20260900,0.777305660288196,0.9086,1.5546113205763918,2.0076187592713444,0.999,0.972,0.93,0.852,0.79
adaptive_cp,S0,20260900,3.016099466951406,0.8906,1.4248602542644782,1.832467399523691,0.887,0.874,0.916,0.924,0.852
split_cp,S0,20260901,0.7820762955069054,0.906,1.5641525910138108,2.0573793746835407,0.999,0.967,0.919,0.864,0.781
adaptive_cp,S0,20260901,3.308503293078011,0.9044,1.5314581388208524,1.8666562494214471,0.869,0.894,0.906,0.924,0.929
split_cp,S0,20260902,0.7612911989675936,0.8892,1.522582397935187,2.1461851156292466,0.993,0.972,0.912,0.818,0.751
adaptive_cp,S0,20260902,3.2699921054861703,0.8924,1.502214949204353,1.9207351884562256,0.88,0.901,0.873,0.879,0.929
split_cp,S0,20260903,0.7782312124078072,0.8972,1.5564624248156143,2.126291118890137,0.995,0.979,0.902,0.837,0.773
adaptive_cp,S0,20260903,3.051211816767356,0.8934,1.4590380447105569,1.9253568334695215,0.938,0.901,0.877,0.896,0.855
split_cp,S0,20260904,0.767432495888767,0.8924,1.5348649917775339,2.1363362142420335,0.996,0.969,0.901,0.837,0.759
adaptive_cp,S0,20260904,2.970977070547107,0.8866,1.4578347790997068,1.9160450115101642,0.901,0.886,0.895,0.888,0.863
split_cp,S0,20260905,0.7287150857972386,0.876,1.4574301715944777,2.14558511945125,0.993,0.96,0.902,0.801,0.724
adaptive_cp,S0,20260905,2.9110228589106244,0.8908,1.4753787817037909,1.9081263221083948,0.877,0.901,0.899,0.896,0.881
split_cp,S0,20260906,0.7767677069339716,0.9028,1.553535413867943,2.09971072034097,1.0,0.972,0.928,0.834,0.78
adaptive_cp,S0,20260906,3.137274995856453,0.9028,1.47949000460911,1.8826040455542439,0.944,0.881,0.882,0.897,0.91
split_cp,S0,20260907,0.7025191949598873,0.8724,1.4050383899197743,2.090088077388939,0.994,0.958,0.879,0.798,0.733
adaptive_cp,S0,20260907,3.0365967323377885,0.903,1.4857652776009724,1.8563957116965655,0.893,0.91,0.912,0.914,0.886
split_cp,S0,20260908,0.8369395321789177,0.9162,1.6738790643578356,2.116279556307377,1.0,0.981,0.933,0.871,0.796
adaptive_cp,S0,20260908,3.5166454159530436,0.9242,1.5910825193081286,1.8919717917201206,0.941,0.946,0.904,0.907,0.923
split_cp,S0,20260909,0.7674894723028236,0.898,1.5349789446056474,2.073016755307497,0.998,0.963,0.897,0.851,0.781
adaptive_cp,S0,20260909,3.224065581533983,0.8894,1.4528383612630613,1.8914538733271364,0.888,0.898,0.873,0.919,0.869
split_cp,S0,20260910,0.7419535117863149,0.8874,1.48390702357263,2.067147313178923,0.995,0.965,0.894,0.831,0.752
adaptive_cp,S0,20260910,2.95381179360565,0.9012,1.5110594421468264,1.851010136149835,0.881,0.869,0.906,0.929,0.921
split_cp,S0,20260911,0.7446450363580741,0.8862,1.4892900727161482,2.0991047797846236,0.997,0.953,0.902,0.828,0.751
adaptive_cp,S0,20260911,3.065464360861189,0.8994,1.462007701860772,1.909290326257711,0.917,0.877,0.924,0.928,0.851
split_cp,S0,20260912,0.7570509190149592,0.8916,1.5141018380299187,2.105768951441856,0.992,0.97,0.912,0.827,0.757
adaptive_cp,S0,20260912,2.965793522392317,0.8906,1.4772206844372646,1.8857064985908008,0.834,0.893,0.924,0.907,0.895
split_cp,S0,20260913,0.8238913482436803,0.9106,1.647782696487361,2.1022357213368608,0.998,0.973,0.925,0.868,0.789
adaptive_cp,S0,20260913,3.2657713740109306,0.912,1.576512771513199,1.886139210014914,0.894,0.904,0.932,0.924,0.906
split_cp,S0,20260914,0.7696053484458022,0.894,1.5392106968916046,2.1409317039803066,0.996,0.977,0.916,0.822,0.759
adaptive_cp,S0,20260914,3.37544410902103,0.9054,1.5282054632986082,1.9033425035040141,0.917,0.898,0.904,0.929,0.879
split_cp,S0,20260915,0.8431861675804314,0.9182,1.6863723351608628,2.11730950396738,0.998,0.982,0.941,0.874,0.796
adaptive_cp,S0,20260915,3.085313372913581,0.893,1.4713166700956368,1.858730148362293,0.889,0.907,0.884,0.887,0.898
split_cp,S0,20260916,0.7762254259812044,0.901,1.5524508519624087,2.0711244513578504,0.999,0.984,0.916,0.856,0.75
adaptive_cp,S0,20260916,3.092798652326985,0.91,1.5543202339954845,1.8738738718415622,0.867,0.911,0.938,0.945,0.889
split_cp,S0,20260917,0.8444811600525362,0.9224,1.6889623201050723,2.1142582499592293,0.997,0.981,0.941,0.886,0.807
adaptive_cp,S0,20260917,3.109619549079308,0.907,1.5794183983388317,1.9001030334408573,0.866,0.909,0.912,0.925,0.923
split_cp,S0,20260918,0.7303295146678551,0.8818,1.4606590293357102,2.061409762742304,0.992,0.95,0.906,0.812,0.749
adaptive_cp,S0,20260918,2.892398742270062,0.8948,1.4415406404850801,1.8463251405494219,0.854,0.907,0.914,0.902,0.897
split_cp,S0,20260919,0.7910117875642042,0.8992,1.5820235751284082,2.08884429379362,0.998,0.97,0.912,0.839,0.777
adaptive_cp,S0,20260919,3.0559493941774662,0.8898,1.4633494379922676,1.8839431491669667,0.924,0.841,0.87,0.923,0.891
split_cp,S0,20260920,0.8244993740435985,0.9154,1.6489987480871968,2.099306502715306,0.999,0.98,0.937,0.876,0.785
adaptive_cp,S0,20260920,3.5391404105312323,0.9192,1.54929026292699,1.88676617974317,0.969,0.919,0.902,0.915,0.891
split_cp,S0,20260921,0.8086716374538645,0.9044,1.6173432749077288,2.1378443945000423,0.997,0.975,0.939,0.841,0.77
adaptive_cp,S0,20260921,3.348865909222853,0.9098,1.5430440813914454,1.9047280882444741,0.897,0.938,0.943,0.875,0.896
split_cp,S0,20260922,0.7703049917090621,0.8958,1.5406099834181237,2.137276581623351,0.993,0.971,0.918,0.857,0.74
adaptive_cp,S0,20260922,3.0923269350111813,0.8912,1.4605018677808956,1.9134548816065442,0.895,0.892,0.899,0.913,0.857
split_cp,S0,20260923,0.8454978290572264,0.9254,1.6909956581144527,2.0688514792167676,0.999,0.984,0.947,0.881,0.816
adaptive_cp,S0,20260923,3.3278633796997332,0.9218,1.568279204396633,1.8409054657172041,0.927,0.91,0.926,0.93,0.916
split_cp,S0,20260924,0.7806542362085847,0.906,1.561308472417169,2.0534831335170125,0.999,0.971,0.936,0.833,0.791
adaptive_cp,S0,20260924,3.193388719608696,0.8998,1.495976017260346,1.8395214076156494,0.88,0.9,0.927,0.885,0.907
split_cp,S0,20260925,0.8798861037646408,0.9296,1.7597722075292812,2.136290141853345,1.0,0.985,0.946,0.886,0.831
adaptive_cp,S0,20260925,3.3388510889895966,0.9122,1.5452210372398036,1.9012228047235504,0.896,0.936,0.929,0.907,0.893
split_cp,S0,20260926,0.8311126810048692,0.916,1.6622253620097385,2.0836132524096698,1.0,0.981,0.925,0.861,0.813
adaptive_cp,S0,20260926,3.563375744551686,0.9112,1.5284290080656144,1.894984288144428,0.962,0.944,0.895,0.887,0.868
split_cp,S0,20260927,0.7637028083629295,0.8948,1.527405616725859,2.1173247671300977,0.995,0.964,0.914,0.833,0.768
adaptive_cp,S0,20260927,3.3738544495034852,0.897,1.481933715343586,1.9209679621291935,0.881,0.919,0.912,0.893,0.88
split_cp,S0,20260928,0.7780506791475814,0.9068,1.5561013582951626,2.0474031146421323,0.998,0.977,0.911,0.857,0.791
adaptive_cp,S0,20260928,3.075918222040163,0.8922,1.46234748941726,1.856335403478743,0.875,0.878,0.888,0.893,0.927
split_cp,S0,20260929,0.803707796285887,0.9048,1.6074155925717741,2.1063043881008117,0.999,0.973,0.94,0.851,0.761
adaptive_cp,S0,20260929,3.233255274120372,0.9058,1.5054560973110642,1.8981475728287711,0.921,0.941,0.927,0.859,0.881
