method,n_repeats,coverage_mean,coverage_std,coverage_5pct,coverage_95pct,mean_length,mean_interval_score,bin_1_coverage_mean,bin_2_coverage_mean,bin_3_coverage_mean,bin_4_coverage_mean,bin_5_coverage_mean,worst_bin_coverage_mean,ess_mean,max_weight_mean,infinite_interval_rate_mean
oracle_wcp,200,0.9031960000000001,0.024520371676132448,0.86236,0.94202,2.0416387502716753,2.577839328006317,0.968385,0.9195150000000001,0.8939,0.8735649999999999,0.8606149999999999,0.8606149999999999,205.38652954554956,10.916532835762096,0.0
split_cp,200,0.807414,0.02295186582227288,0.77008,0.8451099999999999,1.577557654190054,2.7542693182420894,0.914985,0.82835,0.790095,0.76236,0.74128,0.74128,,,
