method,scenario,seed,q,coverage,mean_length,mean_interval_score,bin_1_coverage,bin_2_coverage,bin_3_coverage,bin_4_coverage,bin_5_coverage,ess,max_weight,infinite_interval_rate
oracle_wcp,S1,20260776,1.1965477979758896,0.9438,2.3930955959517792,2.7028909807547308,0.99,0.964,0.942,0.914,0.909,201.15463556866825,10.910268426298737,0.0
split_cp,S1,20260777,0.8284411508658429,0.8368,1.656882301731686,2.6312867441204872,0.927,0.861,0.828,0.777,0.791,nan,nan,nan
oracle_wcp,S1,20260777,1.010703747209659,0.9034,2.0214074944193174,2.527971617338706,0.965,0.922,0.905,0.859,0.866,217.31319233730233,11.004369741503227,0.0
split_cp,S1,20260778,0.8114179094461956,0.8174,1.622835818892391,2.7646781724752727,0.931,0.86,0.781,0.763,0.752,nan,nan,nan
oracle_wcp,S1,20260778,1.0735346465417555,0.9164,2.147069293083511,2.602048142100704,0.977,0.937,0.888,0.909,0.871,210.37236394162628,10.837538859696627,0.0
split_cp,S1,20260779,0.7688674633602401,0.8018,1.53773492672048,2.682809244967429,0.914,0.816,0.798,0.757,0.724,nan,nan,nan
oracle_wcp,S1,20260779,0.9359196444268281,0.885,1.8718392888536561,2.49400500104495,0.955,0.898,0.887,0.849,0.836,213.1659414170312,10.742689714819452,0.0
split_cp,S1,20260780,0.8191549515795006,0.818,1.6383099031590014,2.732059706832349,0.918,0.847,0.802,0.751,0.772,nan,nan,nan
oracle_wcp,S1,20260780,1.0852316146376673,0.9184,2.1704632292753345,2.586880758041436,0.976,0.936,0.894,0.883,0.903,198.77428972356307,10.715595061476257,0.0
split_cp,S1,20260781,0.7876050487214861,0.8022,1.5752100974429724,2.849831655512028,0.912,0.802,0.791,0.748,0.758,nan,nan,nan
oracle_wcp,S1,20260781,1.1122681568482664,0.9214,2.224536313696533,2.631032723153099,0.976,0.923,0.926,0.893,0.889,214.63168600272465,10.864923978988525,0.0
split_cp,S1,20260782,0.701256063855007,0.759,1.4025121277100145,2.9946234101508775,0.871,0.771,0.743,0.715,0.695,nan,nan,nan
oracle_wcp,S1,20260782,0.8571166393167128,0.837,1.7142332786334256,2.676957492030798,0.935,0.853,0.816,0.798,0.783,209.64501046339223,10.941387358571628,0.0
split_cp,S1,20260783,0.7168486773678738,0.7614,1.4336973547357474,2.916482920259507,0.889,0.802,0.727,0.717,0.672,nan,nan,nan
